,iyear,imonth,iday,country_txt,city,attacktype1_txt,targtype1_txt,corp1,target1,natlty1_txt,gname,weaptype1_txt,weapsubtype1_txt,weapdetail,nkill,nwound,propextent_txt,ransomamt
148,2012,1,18,24,3843,2,20,6185,7814,25,4,2,24,1604,0.0,0.0,2,15860.45
149,2012,1,18,123,144,1,6,5913,5104,144,4,4,1,1604,0.0,2.0,1,15860.45
150,2012,1,19,0,5888,2,1,4322,4085,0,2,2,22,1604,8.0,8.0,1,15860.45
151,2012,1,19,82,10031,6,10,7427,11707,41,4,4,7,1604,1.0,0.0,1,15860.45
152,2012,1,19,117,7374,2,13,1368,6509,94,4,2,24,5732,0.0,0.0,1,15860.45
153,2012,1,19,82,266,2,12,5734,1813,96,4,2,22,3156,1.0,4.0,1,15860.45
154,2012,1,19,0,5500,0,12,154,7616,0,2,2,17,5009,14.0,3.0,1,15860.45
155,2012,1,19,97,1876,2,9,2060,10957,37,0,2,10,1604,2.0,5.0,2,15860.45
156,2012,1,19,45,3747,8,13,5547,2402,51,4,9,25,1604,3.0,0.0,1,15860.45
157,2012,1,19,0,3293,2,13,5547,2402,0,2,2,24,1604,0.0,15.0,1,15860.45
158,2012,1,19,117,7374,2,6,1834,7336,94,4,2,24,1604,0.0,0.0,1,15860.45
159,2012,1,20,81,5932,2,6,5466,4024,92,4,2,24,1604,17.0,5.0,1,15860.45
160,2012,1,20,81,5932,2,12,5470,8205,92,4,2,27,1604,18.0,5.0,1,15860.45
161,2012,1,20,81,5932,2,6,6776,6930,92,4,2,24,1604,17.0,5.0,1,15860.45
162,2012,1,20,81,5932,2,6,5466,4024,92,4,2,22,1604,18.0,5.0,1,15860.45
163,2012,1,20,81,5932,2,12,5470,8205,92,4,2,24,1604,17.0,5.0,1,15860.45
164,2012,1,20,81,5932,2,12,5470,8205,92,4,2,24,1604,17.0,5.0,1,15860.45
165,2012,1,20,81,5932,2,12,5470,8205,92,4,2,24,1604,17.0,5.0,1,15860.45
166,2012,1,20,81,5932,2,13,5547,2402,92,4,2,24,1604,17.0,4.0,1,15860.45
167,2012,1,20,0,11706,0,9,5528,4724,53,2,4,25,1604,4.0,15.0,1,15860.45
168,2012,1,20,123,144,0,12,7520,8191,144,4,4,1,1604,3.0,0.0,1,15860.45
169,2012,1,20,81,3647,0,2,7297,1084,92,4,4,25,1604,1.0,3.0,1,15860.45
170,2012,1,20,81,5932,0,12,5470,1093,92,4,4,25,1604,17.0,4.0,1,15860.45
171,2012,1,20,97,8390,2,7,7297,6043,114,0,2,17,1732,4.0,0.0,2,15860.45
172,2012,1,20,81,5065,2,2,5497,4738,92,4,2,27,1604,0.0,0.0,1,15860.45
173,2012,1,20,81,12362,2,19,7297,10933,92,4,2,27,1604,0.0,0.0,1,15860.45
174,2012,1,22,81,5932,2,19,7297,10933,92,4,2,27,1604,0.0,0.0,1,15860.45
175,2012,1,20,81,5932,2,19,7297,10933,92,4,2,27,1604,0.0,0.0,1,15860.45
176,2012,1,20,81,5932,2,3,6738,9336,92,4,2,24,1604,17.0,4.0,1,15860.45
177,2012,1,20,81,5932,2,12,5470,5357,92,4,2,24,1604,16.0,4.0,1,15860.45
178,2012,1,20,81,5932,0,7,1496,8845,92,4,4,25,1604,1.0,0.0,1,15860.45
179,2012,1,21,0,1671,2,9,5528,5876,53,2,2,22,5282,4.0,0.0,1,15860.45
180,2012,1,21,76,4255,2,2,7297,4975,87,4,2,24,1604,0.0,1.0,1,15860.45
181,2012,1,21,45,4202,2,12,3880,8205,51,4,2,10,1604,13.0,0.0,1,15860.45
182,2012,1,21,45,4202,6,13,5547,2402,51,4,9,25,1604,1.0,0.0,1,15860.45
183,2012,1,21,45,12856,0,13,5547,2194,51,4,4,25,1604,0.0,1.0,1,15860.45
184,2012,1,21,103,3763,0,5,185,8028,53,4,4,25,1604,1.0,3.0,1,15860.45
185,2012,1,21,24,12227,2,9,5095,8038,25,4,2,18,2403,2.0,7.0,1,15860.45
186,2012,1,21,0,7134,0,9,150,9799,0,2,2,6,1604,2.0,9.0,2,15860.45
187,2012,1,21,0,1268,2,9,5528,1048,53,2,2,17,4535,0.0,0.0,1,15860.45
188,2012,1,21,24,3842,6,1,7297,8684,25,4,2,24,1604,1.0,0.0,2,15860.45
189,2012,1,21,0,6001,2,12,113,7616,0,2,2,10,1516,5.0,0.0,1,15860.45
190,2012,1,22,81,11698,0,12,5470,8205,92,4,2,6,1604,9.0,10.0,1,15860.45
191,2012,1,22,45,5810,0,12,1881,7405,51,4,4,25,1604,0.0,1.0,1,15860.45
192,2012,1,20,0,6001,0,12,113,1211,0,2,2,17,1623,5.0,0.0,1,15860.45
193,2012,1,22,81,3933,2,14,7297,1963,92,4,2,24,5287,0.0,0.0,1,15860.45
194,2012,1,22,81,1774,2,14,7297,1963,92,4,2,24,5287,0.0,0.0,1,15860.45
195,2012,1,22,81,2373,0,9,5479,5879,92,4,4,25,5287,2.0,0.0,1,15860.45
196,2012,1,22,81,2373,0,2,7297,5209,92,4,4,25,1604,5.0,0.0,1,15860.45
197,2012,1,22,81,2373,0,2,2161,1079,92,4,4,25,1604,4.0,0.0,1,15860.45
